CourseName, StartTime, EndTime, NumWeeks, ForumActivity for each week starting two weeks before StartTime
cs101-selfservice, 1343804400, 1340175600, 18, 0, 0, 1949, 3541, 3857, 3617, 3046, 3077, 3534, 3552, 1057, 938, 1792, 3477, 4884, 4741, 5118, 5668, 5459, 5759, 
sciwrite-2012-001, 1348038000, 1354690800, 9, 0, 78, 39380, 93575, 95610, 49968, 19416, 29066, 16797, 11729, 13853, 6031, 4526, 4549, 3308, 3025, 2981, 3641, 3398, 3360, 
ml-2012-002, 1345014000, 1363158000, 12, 0, 0, 59283, 172265, 213639, 165780, 170372, 126268, 117202, 121534, 95754, 92803, 84769, 45393, 23486, 11188, 11999, 7362, 3841, 3659, 
hci, 1337756400, 1342594800, 7, 0, 0, 66796, 121089, 94858, 61468, 46466, 26505, 13885, 12109, 6056, 3731, 2949, 2661, 2378, 2786, 2290, 2426, 1974, 3473, 
worldmusic-placeholder, 1342594800, 1348038000, 8, 0, 0, 39865, 69041, 60644, 36594, 48415, 32940, 31534, 39829, 3477, 1791, 866, 578, 211, 174, 256, 119, 97, 137, 
algo-003, 1358924400, 1364367600, 9, 0, 0, 9596, 39878, 53650, 40241, 32294, 21408, 20903, 15546, 9180, 1860, 1018, 828, 513, 0, 0, 0, 0, 0, 
crypto, 1331103600, 1339570800, 10, 0, 0, 8978, 69416, 70582, 80129, 52205, 39054, 41532, 22545, 16039, 15219, 16261, 3232, 3730, 2560, 4226, 885, 530, 351, 
compilers, 1335337200, 1368601200, 10, 0, 0, 0, 8936, 24547, 22806, 19742, 17863, 6660, 7633, 7323, 5620, 4146, 2443, 461, 418, 364, 256, 313, 176, 
crypto-004, 1350457200, 1362553200, 20, 644, 747, 785, 774, 865, 1304, 1163, 1269, 934, 941, 1019, 1014, 1279, 1001, 901, 1530, 1270, 1503, 1575, 1401, 
hci-2012-002, 1348038000, 1377068400, 10, 0, 0, 45542, 115273, 101776, 60307, 36772, 39818, 37178, 20218, 9878, 11620, 7089, 6110, 3901, 2960, 3503, 4859, 4739, 4149, 
sustainableag-placeholder, 1361948400, 1368601200, 10, 0, 0, 653, 1793, 2038, 1681, 1309, 1069, 1030, 963, 695, 305, 75, 37, 16, 15, 27, 22, 27, 11, 
gametheory, 1331708400, 1337756400, 7, 0, 133, 2, 49871, 50415, 57541, 68436, 46812, 38674, 29630, 10988, 10278, 1130, 687, 701, 505, 500, 318, 361, 362, 
compilers-2012-002, 1349247600, 1355900400, 10, 0, 0, 30, 4909, 12368, 15512, 14223, 12117, 5269, 5740, 5589, 4928, 4398, 1566, 454, 493, 455, 569, 322, 276, 
pgm-2012-002, 1348038000, 1378278000, 12, 0, 0, 23707, 61838, 54180, 47154, 35208, 32831, 27665, 27521, 31952, 21813, 15218, 13172, 5360, 3427, 2820, 2437, 1993, 1298, 
maththink-2012-001, 1348038000, 1352271600, 7, 0, 0, 5423, 204865, 139017, 71153, 46230, 34466, 18947, 11328, 6443, 5909, 6324, 5970, 6274, 4901, 4546, 4579, 5027, 3833, 
